qid,language,lang_code,question,context,options,gold,answer_type,category,difficulty,rationale,source
q001,Galician,glg-ESP,"Se Tania decide mercar o coche D e revendelo despois de tres anos nun estado excelente, cal será o prezo de revenda aproximado do coche en zeds?","O prezo de revenda dun coche é o prezo estimado polo que se pode revender posteriormente.
O prezo de revenda dun coche que se atopa nun estado excelente redúcese cada ano un 5 %.
O prezo do coche inclúe todos os impostos e taxas de matriculación.
Coche D
Prezo do coche (zeds)
10.500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Georgian,geo-GEO,"თუ ქეთი გადაწყვეტს, იყიდოს მანქანა D და გაყიდოს ის საუკეთესო მდგომარეობაში 3 წლის შემდეგ, მიახლოებით რამდენი ზედი იქნება მანქანის ხელახლა გაყიდვის ფასი?","მანქანის ხელახლა გაყიდვის ფასი არის მანქანის მიახლოებითი ღირებულება მისი მოგვიანებით გაყიდვის შემთხვევაში.
საუკეთესო მდგომარეობაში შენარჩუნებული მანქანის ხელახლა გაყიდვის ფასი ყოველწლიურად მცირდება 5 %–ით.
მანქანის ფასში შედის ყველა გადასახადი და რეგისტრაციის ხარჯი.
მანქანა D
მანქანის ფასი (ზედი)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,German,deu-DEU,"Wenn sich Tanja entscheidet, Auto D zu kaufen und es nach drei Jahren in einwandfreiem Zustand weiterzuverkaufen, wie hoch wird der ungefähre Wiederverkaufspreis des Autos in Zeds sein?","Der Wiederverkaufspreis eines Autos ist der geschätzte Preis, zu dem es zu einem späteren Zeitpunkt weiterverkauft werden kann.
Der Wiederverkaufspreis eines Autos, das in einem einwandfreien Zustand bleibt, verringert sich jedes Jahr um 5 %.
Der Preis des Autos enthält alle Steuern und Zulassungsgebühren.
Auto D
Preis des Autos (Zeds)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Greek,ell-GRC,"Εάν η Τάνια αποφασίσει να αγοράσει το αυτοκίνητο Δ και να το μεταπωλήσει σε άριστη κατάσταση μετά από τρία χρόνια, ποια θα είναι κατά προσέγγιση η τιμή μεταπώλησης του αυτοκινήτου σε ζεντ;","Η τιμή μεταπώλησης ενός αυτοκινήτου αντιστοιχεί στην τιμή στην οποία εκτιμάται ότι θα μεταπωληθεί μελλοντικά.
Η τιμή μεταπώλησης ενός αυτοκινήτου το οποίο είναι σε άριστη κατάσταση μειώνεται κάθε χρόνο κατά 5%.
Η τιμή του αυτοκινήτου περιλαμβάνει όλους τους φόρους και τις πινακίδες κυκλοφορίας.
Αυτοκίνητο Δ
Τιμή αυτοκινήτου (σε ζεντ)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Hebrew,heb-ISR,"אם טליה תחליט לקנות את מכונית ד ולמכור אותה במצב מצוין לאחר שלוש שנים, מה יהיה בערך מחיר המכירה החוזרת של המכונית בזדים?","מחיר המכירה החוזרת של מכונית הוא המחיר המשוער שבו אפשר יהיה למכור אותה שוב במועד מאוחר יותר.
אם המכונית נשארת במצב מצוין, מחיר המכירה החוזרת שלה יורד ב-5% בכל שנה.
מחיר המכונית כולל את כל המיסים ואת אגרת הרישוי.
מכונית ד
מחיר המכונית (בזדים)
10,500","[""A) 1,575"", ""B) 8,925"", ""C) 9,000"", ""D) 9,975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Hungarian,hun-HUN,"Ha Tímea a D autó megvásárlása mellett dönt, majd három év múlva kiváló állapotban adja el, körülbelül hány zed lesz az autó viszonteladási ára?","Egy autó viszonteladási ára az a becsült ár, amennyiért később újra el lehet adni.
Egy kiváló állapotát megőrző autó évente viszonteladási árának 5%-át veszíti el.
Az autó ára tartalmazza az adókat és a forgalomba helyezés költségét.
D autó
7
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Icelandic,isl-ISL,"Ef Tanja ákveður að kaupa bíl D og selja hann aftur eftir þrjú ár í mjög góðu ástandi, hvert verður þá áætlað endursöluverð hans í setum?","Endursöluverð bíls er áætlað verð hans í endursölu síðar.
Endursöluverð bíls í mjög góðu ástandi minnkar um 5% á hverju ári.
Í bílverði eru allir skattar og skráningargjöld innifalin.
Bíll D
Bílverð (setur)
10.500","[""A) 1.575"", ""B) 8.925"", ""C) 9.000"", ""D) 9.975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Indonesian,ind-IDN,"Jika Tania memutuskan untuk membeli mobil D dan menjualnya kembali setelah tiga tahun dalam kondisi baik, berapakah perkiraan harga penjualan kembali mobil tersebut dalam zed?","Harga penjualan kembali sebuah mobil adalah perkiraan harga mobil ketika akan dijual kembali di waktu mendatang.
Untuk mobil yang tetap dalam kondisi baik, harga penjualan kembalinya akan turun 5% setiap tahunnya.
Harga mobil sudah termasuk semua pajak dan biaya pendaftaran.
Mobil D
Harga Mobil (zed)
10.500","[""A) 1.575"", ""B) 8.925"", ""C) 9.000"", ""D) 9.975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Italian,ita-ITA,"Se Tania decidesse di comprare l'automobile D e rivenderla dopo tre anni in ottime condizioni, quale sarebbe il prezzo di rivendita approssimativo dell'automobile in zed?","Il prezzo di rivendita di un'automobile è il prezzo stimato con cui può essere rivenduta in un secondo momento.
Per un'automobile che rimane in ottime condizioni, il suo prezzo di rivendita diminuirà ogni anno del 5%.
Nel prezzo dell'automobile sono incluse tutte le tasse e le spese di registrazione.
Automobile D
Prezzo dell'automobile (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Japanese,jpn-JPN,もし千夏さんが自動車Dを買うと決めて、3年後にそれを大変良い状態で売ることができるとしたら、その自動車の再販価格はおよそいくらになるでしょうか。,"自動車の再販価格とは、後に売却する時に付けられる推定価格のことです。
自動車の状態が大変良い場合、その価格は1年ごとに5%減少します。
自動車の価格には税金・登録料がすべて含まれています。
自動車D
自動車の価格（ゼッド）
10,500","[""A) 1,575"", ""B) 8,925"", ""C) 9,000"", ""D) 9,975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Kazakh,kaz-KAZ,"Егер Тоғжан Г автокөлігін сатып алуды шешіп және оны үш жылдан кейін «өте жақсы» жағдайында қайта сатқысы келсе, жүрілген автокөліктің бағасы шамамен (зедпен) қанша болады?","Жүрілген автокөліктің бағасы – бұл автокөлікті кейінірек қаншаға қайта сатуға болатын есептелген баға.
Өте жақсы жағдайында қалған жүрілген автокөліктің бағасы жыл сайын 5%-ға төмендей береді.
Автокөлік бағасы барлық салықтармен тіркеу алымдарымен қоса көрсетілген.
Г автокөлігі
Автокөлік бағасы (зед)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Korean,kor-KOR,"태연이가 자동차 D를 구입하여 3년 후에 최상의 상태로 되판다면, 자동차의 중고차 가격은 약 몇 제드인가?","자동차의 중고차 가격은 나중에 되팔 수 있는 가격의 추정치이다.
최상의 상태를 유지한 자동차의 경우, 중고차 가격은 매년 5%씩 감소한다.
자동차 가격은 모든 세금과 등록비를 포함한다
자동차 D
자동차 가격(제드)
10500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Latvian,lav-LVA,"Kāda būs mašīnas aptuvenā tālākpārdošanas cena zedos, ja Tamāra nolems pirkt automašīnu D un pēc trīs gadiem to labā stāvoklī pārdos?","Mašīnas tālākpārdošanas cena ir paredzamā cena, par kādu vēlāk to var pārdot.
Labā stāvoklī uzturētu mašīnu vērtība katru gadu krītas par 5%.
Mašīnas cenā iekļauti visi nodokļi un reģistrācijas izmaksas.
Mašīna D
Mašīnas cena (zedi)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Lithuanian,lit-LTU,"Jeigu Tania nuspręstų įsigyti D automobilį ir jį puikios būklės parduotų po trejų metų, kokia tada būtų apytikslė šio automobilio perpardavimo vertė zedais?","Automobilio perpardavimo vertė yra apytikslė kaina, už kurią automobilį būtų galima vėliau perparduoti.
Automobilio, kuris išlieka puikios būklės, perpardavimo vertė kiekvienais metais sumažės 5 %.
Į automobilio kainą įtraukti visi privalomi ir registracijos mokesčiai
D automobilis
Automobilio kaina (zedai)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Malay,msa-MYS,"Sekiranya Tania membuat keputusan untuk membeli kereta D dan menjual semula kereta tersebut selepas tiga tahun dalam keadaan baik, apakah harga jualan semula terhampir kereta tersebut dalam zed?","Harga jualan semula kereta ialah anggaran harga kereta boleh dijual semula pada masa akan datang.
Bagi kereta yang berkeadaan baik, nilainya akan berkurang 5% setiap tahun.
Harga kereta termasuk semua cukai dan yuran pendaftaran.
Kereta D
Harga Kereta (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Nynorsk,nno-NOR,Omtrent kor høg vil bruktprisen for bilen vere i zed dersom Trine bestemmer seg for å kjøpe bil D og selje han i svært god stand etter tre år?,"Bruktprisen for bilen er den prisen ein reknar med at bilen kan bli seld for på eit seinare tidspunkt.
For ein bil som er i svært god stand, vil bruktprisen minke med 5 % kvart år.
Bilpris inkluderer alle skattar og avgifter.
Bil D
Bilpris (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Polish,pol-POL,"Jeśli Teresa postanowi kupić samochód D i odsprzedać go w doskonałym stanie trzy lata później, jaka będzie przybliżona cena odsprzedania samochodu w zedach?","Cena odsprzedania samochodu to szacunkowa cena, za jaką będzie można sprzedać go później.
Cena odsprzedania samochodu, który jest w doskonałym stanie, maleje co roku o 5%.
Cena samochodu zawiera wszystkie podatki i koszty rejestracji.
Samochód D
Cena samochodu (w zedach)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Portuguese,por-PRT,"Se a Tânia decidir comprar o carro D e o vender passados três anos, estando este em condições excelentes, qual será, aproximadamente, o preço de revenda do carro em zeds?","O preço de revenda de um carro é o preço estimado pelo qual ele poderá ser revendido mais tarde.
O preço de revenda de um carro que se mantenha em condições excelentes diminui cerca de 5% por cada ano.
O preço do carro inclui todos os impostos e taxas de registo.
Carro D
Preço do carro (zeds)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Russian,rus-KAZ,"Если Таня решит купить машину Г и перепродать ее через три года в отличном состоянии, какова будет приблизительная стоимость перепродажи машины в зедах?","Стоимость перепродажи машины — это расчетная цена, по которой она может быть перепродана позднее.
Для машины, которая находится в отличном состоянии, ее стоимость будет уменьшаться на 5% каждый год.
Стоимость машины включает все налоги и регистрационные сборы.
Машина Г
Стоимость машины (зед)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Serbian / Serb,srp-SRB,"Ako Tanja odluči da kupi automobil D, i preproda ga nakon tri godine u odličnom stanju, koja će biti približna cena automobila u preprodaji u zedima?","Cena automobila u preprodaji je procenjena cena za koju se kasnije može preprodati.
Cena automobila u preprodaji, a koji je i dalje u odličnom stanju, umanjuje se za 5% sadašnje vrednosti svake godine.
Cena automobila uključuje sve poreze i troškove registracije.
Automobil D
Cena automobila (u zedima)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Slovak,slo-SVK,"Ak sa Táňa rozhodne, že si kúpi auto D a po troch rokoch ho vo výbornom stave predá, aká bude približná cena auta v zedoch pri jeho opätovnom predaji?","Cena auta pri opätovnom predaji je odhadovaná cena, za ktorú sa dá auto neskôr predať.
Ak je auto udržiavané vo výbornom stave, jeho cena pri opätovnom predaji bude každý rok klesať o 5 %.
Súčasťou ceny auta sú všetky dane a registračné poplatky.
Auto D
Cena auta (v zedoch)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Slovenian,slv-SVN,"Če se bo Tanja odločila za nakup avtomobila D in ga bo po treh letih prodala v odličnem stanju, kolikšna bo njegova približna tržna cena v zedih?","Tržna cena avtomobila je predvidena cena, po kateri ga bomo pozneje lahko prodali.
Tržna cena avtomobila, ki je odlično ohranjen, se vsako leto zmanjša za 5 %.
V ceno avtomobila so vključeni vsi davki in stroški registracije.
Avtomobil D
7
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Spanish,esp-ESP,Introduce el precio del coche.,"La calculadora de costes determinará cuánto costará comprar un coche y conducirlo durante el primer año.
Para utilizar la calculadora, sigue estos pasos:
El precio del coche incluye todos los impuestos y tasas de matriculación.
Coche D
Precio del coche (zeds)
10.500","[""A) Introduce el consumo de combustible."", ""B) Pulsa en el botón \""Calcular\"". El resultado se mostrará en la tabla de resultados."", ""C) Para realizar más cálculos, pulsa en \""Borrar\"", introduce los valores nuevos y vuelve a pulsar en el botón \""Calcular\""."", ""D) Para borrar cualquier fila de datos de la tabla de resultados, pulsa en el botón de borrar junto a esa fila.""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Swedish,swe-SWE,"Om Tanja bestämmer sig för att köpa Bil D och att sälja den vidare i toppskick tre år senare, vilket blir det ungefärliga försäljningspriset på bilen i zed?","En bils försäljningspris är det uppskattade pris som den kan säljas för vid ett senare tillfälle.
För en bil som hålls i toppskick sjunker försäljningspriset varje år med 5 %.
I bilens pris ingår alla skatter och registreringsavgifter.
Bil D
Bilens pris (zed)
10 500","[""A) 1 575"", ""B) 8 925"", ""C) 9 000"", ""D) 9 975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Thai,tha-THA,ถ้าทิชาตัดสินใจซื้อรถยนต์ D และขายรถยนต์คันนี้ต่อหลังจากใช้งานมาแล้วสามปีในสภาพดีเยี่ยม รถยนต์คันนี้จะมีราคาขายต่อประมาณกี่เซด,"ราคาขายต่อของรถยนต์ คือ ราคาโดยประมาณของรถยนต์ที่จะขายต่อได้ในภายหลัง
สำหรับรถยนต์ที่อยู่ในสภาพดีเยี่ยม ราคาขายต่อของรถยนต์จะลดลง 5% ในแต่ละปี
ราคารถยนต์รวมภาษีและค่าจดทะเบียนทั้งหมด
รถยนต์ D
ราคารถยนต์ (เซด)
10,500","[""A) 1,575"", ""B) 8,925"", ""C) 9,000"", ""D) 9,975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q001,Turkish,tur-TUR,"Tuğçe, Araba D'yi almaya ve üç yıl sonra satmaya karar verirse, bu arabanın ikinci el satış değeri zed cinsinden yaklaşık ne olur?","Bir arabanın ikinci el olarak satılabileceği tahminî fiyata o arabanın ikinci el satış değeri denir.
Bir arabanın ikinci el satış değeri her yıl %5 azalır.
Tüm vergiler ve ruhsat giderleri araba fiyatına dahildir.
Araba D
Araba Fiyatı (zed)
10 500","[""A) 1575"", ""B) 8925"", ""C) 9000"", ""D) 9975""]",C,mc,Math,level 6,v = 10 500*(1-0.05)^3,"PISA 2022, math, car purchase"
q002,Albanian,sqi-ALB,"Nëse trendi i shitjeve vazhdon, në cilin vit numri i DVDve të shitura do të jetë më pak se 1 milion në bazë të modelit.","Ekuacioni i vijës është d = 254 – 22n, ku d është numri i DVDve të shitura (në milionë) dhe n është numri i viteve pas 2008.","[""A) 2015"", ""B) 2018"", ""C) 2020"", ""D) 2022""]",C,mc,Math,level 6,254 – 22n < 1,"PISA 2022, math, DVD sales"
